poi_id;name;location_id;latitude;longitude;category;description
POI001;Prisma Lielahti;LOC_lielahti_zone;61.5200;23.6659;Shopping;
POI002;Gigantti;LOC_lielahti_zone;61.5185;23.6664;Shopping;
POI003;Stadium Outlet;LOC_lielahti_zone;61.5169;23.6702;Shopping;
POI004;K-Rauta Lielahti;LOC_lielahti_zone;61.5206;23.6588;Shopping;
POI005;Puuilo Lielahti;LOC_lielahti_zone;61.5194;23.6710;Shopping;
POI006;Lidl Lielahti;LOC_lielahti_zone;61.5158;23.6659;Shopping;
POI007;K-Citymarket Lielahti;LOC_lielahti_zone;61.5151;23.6682;Shopping;
POI008;XXL Sports & Outdoor Lielahti;LOC_lielahti_zone;61.5160;23.6635;Shopping;
POI009;Epilä Esker;LOC_lielahti_zone;61.5135;23.6607;Park;
POI010;Neste Lielahti;LOC_lielahti_zone;61.5151;23.6642;Gas Station;
POI011;Tehdas Tram Stop;LOC_lielahti_zone;61.5175;23.6822;Tram Stop;
POI012;Niemen kartano Tram Stop;LOC_lielahti_zone;61.5209;23.6839;Tram Stop;
POI013;Sellupuisto Park;LOC_lielahti_zone;61.5209;23.6812;Park;
POI014;McDonald's Lielahti;LOC_lielahti_zone;61.5144;23.6702;Food;
POI015;Subway Lielahti;LOC_lielahti_zone;61.5168;23.6638;Food;
POI016;Lielahtikeskus Pysäköintihalli;LOC_lielahti_zone;61.5204;23.6691;Parking;
POI017;Lielahti B Bus Stop;LOC_lielahti_zone;61.5172;23.6658;Bus Stop;
POI018;Lielahti C Bus Stop;LOC_lielahti_zone;61.5198;23.6700;Bus Stop;
POI019;Sellukatu Bus Stop;LOC_lielahti_zone;61.5172;23.6693;Bus Stop;
POI020;Lielahtikeskus;LOC_lielahti_zone;61.5192;23.6653;Bus Stop;
POI021;ABC Prisma Lielahti ;LOC_lielahti_zone;61.5200;23.6644;Gas Station;
POI022;Prisma Lielahti Parking Lot;LOC_lielahti_zone;61.5195;23.6654;Parking;
POI023;Lielahden koulu;LOC_lielahti_zone;61.5220;23.6725;Education;
POI024;Suomen Jäsenkorjaajakoulu;LOC_lielahti_zone;61.5175;23.6646;Education;
POI025;MJE-Fix Oy Lielahti;LOC_lielahti_zone;61.5204;23.6560;Car Wash;
POI026;L&M Autopesu Avoin Yhtiö;LOC_lielahti_zone;61.5170;23.6611;Car Wash;
POI027;ABC Carwash itsepalvelu Prisma Lielahti;LOC_lielahti_zone;61.5200;23.6659;Car Wash;
POI028;Tampereen autopesu;LOC_lielahti_zone;61.5202;23.6705;Car Wash;
POI029;TP Autofix;LOC_lielahti_zone;61.5143;23.6772;Car Wash;
POI030;Hand Wash Autopesu Lielahti;LOC_lielahti_zone;61.5205;23.6700;Car Wash;
