poi_id;name;location_id;latitude;longitude;category;description
POI001;Shopping Center Ratina;LOC_ratina_mall_area;61.4933;23.7671;Shopping;
POI002;Koskikeskus;LOC_ratina_mall_area;61.4959;23.7673;Shopping;
POI003;Tampereen stadion;LOC_ratina_mall_area;61.4929;23.7642;Sport;
POI004;Pysäköintialue;LOC_ratina_mall_area;61.4936;23.7631;Parking;
POI005;Ratinannokanpuisto;LOC_ratina_mall_area;61.4925;23.7604;Park;
POI006;Finnpark Voimakadun parkki;LOC_ratina_mall_area;61.4912;23.7674;Parking;
POI007;P-Ratina;LOC_ratina_mall_area;61.4924;23.7681;Parking;
POI008;Finnpark Koskikeskus;LOC_ratina_mall_area;61.4951;23.7682;Parking;
POI009;Nokia Arena;LOC_ratina_mall_area;61.4938;23.7747;Sport;
POI010;Ratinanranta Bus Stop;LOC_ratina_mall_area;61.4920;23.7635;Bus Stop; 
