poi_id;name;location_id;latitude;longitude;category;description
POI001;Shopping Center Ratina;LOC_ratina_mall_area;61.4933;23.7671;Shopping;
POI002;Koskikeskus;LOC_ratina_mall_area;61.4959;23.7673;Shopping;
POI003;Tampereen stadion;LOC_ratina_mall_area;61.4929;23.7642;Sport;
POI004;Pysäköintialue;LOC_ratina_mall_area;61.4936;23.7631;Parking;
POI005;Ratinannokanpuisto;LOC_ratina_mall_area;61.4925;23.7604;Park;
POI006;Finnpark Voimakadun parkki;LOC_ratina_mall_area;61.4912;23.7674;Parking;
POI007;P-Ratina;LOC_ratina_mall_area;61.4924;23.7681;Parking;
POI008;Finnpark Koskikeskus;LOC_ratina_mall_area;61.4951;23.7682;Parking;
POI009;Nokia Arena;LOC_ratina_mall_area;61.4938;23.7747;Sport;
POI010;Ratinanranta Bus Stop;LOC_ratina_mall_area;61.4920;23.7635;Bus Stop;
POI011;Linja-autoasema;LOC_ratina_mall_area;61.4939;23.7708;Bus Stop;
POI012;Tampere Adult Education Center TAKK;LOC_ratina_mall_area;61.4917;23.7745;Education;
POI013;Sorin aukio Tram Stop;LOC_ratina_mall_area;61.4950;23.7698;Tram Stop;
POI014;Tampereen valtatie;LOC_ratina_mall_area;61.4916;23.7721;Bus Stop;
POI015;Neste Tampere Hatanpää;LOC_ratina_mall_area;61.4925;23.7729;Gas Station;
POI016;Viinikanlahti Bus Stop;LOC_ratina_mall_area;61.4897;23.7718;Bus Stop;
POI017;Aimo Park | Areena;LOC_ratina_mall_area;61.4934;23.7730;Parking;
POI018;ABC Viinikka Tampere;LOC_ratina_mall_area;61.4858;23.7770;Gas Station;
POI019;Autopesu tampere - autopesula;LOC_ratina_mall_area;61.4924;23.7668;Car Wash;
POI020;Ratinan Autopesu;LOC_ratina_mall_area;61.4935;23.7700;Car Wash;
POI021;Carspot Autopesu;LOC_ratina_mall_area;61.4958;23.7699;Car Wash;
POI022;Frenckellin autopesu;LOC_ratina_mall_area;61.5000;23.7639;Car Wash;
POI023;ABC Carwash Viinikka Tampere;LOC_ratina_mall_area;61.4865;23.7787;Car Wash;
